Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
160,19.451,30.455,0,0.066,1.635,3.332,7.547,18.443,0.908
161,13.441,23.362,0,0.069,1.645,3.402,7.819,19.360,0.826
161,25.168,23.559,0,0.072,1.621,3.309,7.519,18.419,0.826
162,24.750,22.518,0,0.074,1.631,3.335,7.565,18.479,0.822
162,13.324,23.396,0,0.070,1.654,3.444,7.965,19.819,0.624
162,19.443,30.409,0,0.068,1.623,3.293,7.443,18.173,0.745
163,13.589,22.464,0,0.067,1.634,3.341,7.595,18.626,0.800
163,25.516,23.445,0,0.076,1.589,3.208,7.242,17.716,0.638
163,19.466,30.373,0,0.067,1.632,3.325,7.531,18.409,0.830
164,13.574,22.447,0,0.069,1.618,3.285,7.424,18.120,0.973
164,25.506,23.432,0,0.074,1.600,3.244,7.352,18.031,0.951
164,19.439,30.387,0,0.067,1.620,3.281,7.397,18.023,0.977
165,13.546,22.435,0,0.069,1.619,3.287,7.432,18.148,0.994
165,25.415,23.506,0,0.075,1.607,3.269,7.422,18.223,0.989
165,19.444,30.407,0,0.068,1.621,3.285,7.413,18.082,0.995
166,13.504,22.427,0,0.071,1.651,3.400,7.776,19.150,0.557
166,25.452,23.480,0,0.074,1.600,3.247,7.364,18.068,0.767
166,19.486,30.392,0,0.069,1.614,3.258,7.326,17.811,0.785
167,13.582,22.439,0,0.070,1.631,3.329,7.559,18.516,0.777
167,25.451,23.521,0,0.074,1.592,3.220,7.281,17.838,0.821
